tripleid,word1,word2,word2vec_score,Wu_Palmer_score,brown-vector_score,4th_novel_score
0,dog,cat,0.8798075,1.0,0.8139726301062111,0.9245039
0,dog,house,0.43759328,0.36363636363636365,0.88328404000978,0.7765869
0,cat,house,0.37882093,0.36363636363636365,0.7008910505999737,0.58681303
1,bottle,house,0.27423105,0.42105263157894735,0.8158530834541379,0.86614347
1,bottle,run,0.19380157,0.35294117647058826,0.8425647690436395,0.8011142
1,house,run,0.49696347,0.8333333333333334,0.9034234796245875,0.8789861
2,drum,health,-0.0077056717,0.3157894736842105,0.5563925773978065,0.906599
2,drum,milk,0.08721569,0.7777777777777778,0.5975480176686131,0.9509234
2,health,milk,0.35118803,0.3157894736842105,0.6634753713833014,0.9045018
3,doc,queen,0.092088275,0.9166666666666666,0.562078996167126,0.91707957
3,doc,friend,0.28238988,0.8333333333333334,0.7200374126404997,0.6799388
3,queen,friend,0.48006862,0.8333333333333334,0.7307981474642615,0.7540865
4,save,help,0.7064365,0.9473684210526315,0.8547973240768064,0.84923375
4,save,waste,0.36981145,0.6666666666666666,0.7645042165335947,0.90536076
4,help,waste,0.37867028,0.631578947368421,0.7202843082428949,0.73725766
